county,state,fips,1938,1939,1940,1941,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1959,1960,1961,1962,1963
Duval County,Florida,12031,7,11,10,10,10,10,11,18,15,14,15,17,17,12,11,9,9,7,4,6
Capitol Planning Region,Connecticut,9110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marion County,Indiana,18097,0,7,13,12,33,29,28,64,68,60,56,53,51,16,15,13,11,11,9,8
Pinellas County,Florida,12103,5,5,5,3,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,3
Gwinnett County,Georgia,13135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prince George's County,Maryland,24033,0,1,2,0,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1
Bergen County,New Jersey,34003,11,10,8,8,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,11
Erie County,New York,36029,4,7,7,7,78,83,81,78,70,68,67,67,66,17,18,17,16,15,21,32
Milwaukee County,Wisconsin,55079,0,0,0,0,0,0,0,0,0,0,0,109,100,17,14,14,11,8,7,11
DuPage County,Illinois,17043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shelby County,Tennessee,47157,2,5,5,8,16,16,15,13,13,18,16,15,15,8,9,8,43,43,29,29
Pierce County,Washington,53053,0,3,2,2,3,3,5,5,5,5,3,2,2,2,3,3,3,3,4,4
Denton County,Texas,48121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kern County,California,6029,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macomb County,Michigan,26099,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidalgo County,Texas,48215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Paso County,Texas,48141,0,11,11,10,11,11,11,11,10,8,9,8,8,5,6,6,5,4,4,4
Middlesex County,New Jersey,34023,2,2,2,3,4,5,5,5,5,5,4,4,2,2,2,2,2,2,2,2
Worcester County,Massachusetts,25027,1,2,0,0,8,8,8,6,5,5,5,5,5,1,2,1,1,1,1,0
Montgomery County,Pennsylvania,42091,0,0,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Essex County,New Jersey,34013,46,67,61,72,87,104,99,95,93,96,89,85,83,17,17,18,17,16,12,11
San Francisco County,California,6075,0,8,12,10,11,12,12,26,24,24,22,18,18,8,10,10,10,7,7,7
Baltimore County,Maryland,24005,0,1,0,0,1,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0
Ventura County,California,6111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Bend County,Texas,48157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snohomish County,Washington,53061,0,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,0,0,0,0
Hamilton County,Ohio,39061,0,10,14,15,44,106,104,95,88,82,72,68,66,17,13,13,10,10,7,7
Multnomah County,Oregon,41051,0,1,2,16,13,11,10,10,10,10,10,10,10,3,2,2,1,1,2,2
Essex County,Massachusetts,25009,0,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0
Oklahoma County,Oklahoma,40109,0,12,11,10,26,22,22,21,18,17,16,15,16,10,11,11,11,10,7,7
Suffolk County,Massachusetts,25025,2,15,28,25,65,66,65,67,73,62,63,59,55,15,13,13,12,12,11,9
San Joaquin County,California,6077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Jefferson County,Kentucky,21111,3,6,11,10,34,41,42,42,40,40,39,39,40,15,15,14,13,14,9,9
Lee County,Florida,12071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cobb County,Georgia,13067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2
DeKalb County,Georgia,13089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Monroe County,New York,36055,3,6,6,6,5,7,7,9,9,8,21,19,19,4,4,4,4,4,5,12
San Mateo County,California,6081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polk County,Florida,12105,1,4,4,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,3,3
El Paso County,Colorado,8041,0,5,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Norfolk County,Massachusetts,25021,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Jackson County,Missouri,29095,0,6,8,7,41,58,57,73,62,57,48,46,44,16,14,14,13,13,12,34
Lake County,Illinois,17097,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County,New Jersey,34017,1,2,2,2,6,7,6,6,5,5,4,3,3,0,0,0,0,0,0,0
Denver County,Colorado,8031,0,10,11,13,52,44,39,41,38,38,31,30,32,10,13,9,8,9,0,0
Davidson County,Tennessee,47037,3,9,6,10,14,20,17,16,15,15,13,12,14,10,11,11,24,26,10,9
Will County,Illinois,17197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bernalillo County,New Mexico,35001,0,0,0,0,2,4,5,4,3,3,3,3,4,4,3,5,5,5,4,4
Jefferson County,Alabama,1073,4,5,5,5,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4
District of Columbia,District of Columbia,11001,19,24,27,16,58,68,64,63,61,57,53,63,57,29,29,29,29,30,23,38
Tulsa County,Oklahoma,40143,0,23,20,23,18,16,13,16,18,18,18,18,17,11,11,11,10,10,8,8
Utah County,Utah,49049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Providence County,Rhode Island,44007,2,6,10,9,10,7,7,6,5,5,4,6,6,2,2,1,1,1,1,1
Kent County,Michigan,26081,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Arapahoe County,Colorado,8005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bucks County,Pennsylvania,42017,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Monmouth County,New Jersey,34025,64,76,54,40,50,46,47,52,48,47,47,49,47,22,21,21,19,19,18,15
Ocean County,New Jersey,34029,2,1,1,1,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0
Montgomery County,Texas,48339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Connecticut Planning Region,Connecticut,9190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williamson County,Texas,48491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnson County,Kansas,20091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevard County,Florida,12009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington County,Oregon,41067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anne Arundel County,Maryland,24003,3,3,2,3,3,3,3,4,3,2,2,3,3,5,4,4,4,3,3,2
Baltimore City,Maryland,24510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Douglas County,Nebraska,31055,0,9,7,7,29,25,25,24,21,20,18,16,16,5,5,5,5,5,5,2
Jefferson County,Colorado,8059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bristol County,Massachusetts,25005,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Delaware County,Pennsylvania,42045,1,13,9,9,10,10,10,10,9,8,8,8,8,2,1,1,1,1,2,2
Union County,New Jersey,34039,13,19,17,18,18,18,18,17,17,17,14,14,12,1,1,1,1,1,1,1
South Central Connecticut Planning Region,Connecticut,9170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Castle County,Delaware,10003,4,4,5,8,12,12,12,12,14,13,13,13,11,7,6,4,4,4,4,4
Pasco County,Florida,12101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dane County,Wisconsin,55025,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,1,0,0
Volusia County,Florida,12127,0,0,0,1,7,5,4,4,3,2,2,1,3,2,2,1,2,2,0,9
Lancaster County,Pennsylvania,42071,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0
Stanislaus County,California,6099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramsey County,Minnesota,27123,0,0,2,3,2,18,18,16,14,13,13,13,13,3,2,1,1,13,15,14
Guilford County,North Carolina,37081,4,8,8,10,11,10,9,10,11,11,10,9,10,6,6,6,4,7,4,3
Summit County,Ohio,39153,4,7,10,8,18,15,15,14,11,11,11,9,9,4,2,2,2,2,2,2
Spokane County,Washington,53063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Chester County,Pennsylvania,42029,3,3,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2
Montgomery County,Ohio,39113,0,1,1,2,2,2,2,5,5,5,5,4,4,2,2,2,6,6,5,4
Plymouth County,Massachusetts,25023,1,3,2,3,4,4,4,4,4,3,4,4,5,2,2,1,1,1,1,1
Greenville County,South Carolina,45045,0,3,2,1,7,11,8,8,8,8,8,7,6,3,3,3,3,3,3,0
Sedgwick County,Kansas,20173,0,0,2,2,2,2,2,4,4,4,4,4,3,5,4,5,5,4,4,3
Camden County,New Jersey,34007,6,10,9,6,11,16,16,16,16,17,16,16,16,3,3,3,3,2,2,2
Adams County,Colorado,8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Passaic County,New Jersey,34031,4,9,9,7,5,6,6,7,6,5,4,4,4,0,0,0,0,0,0,0
Kane County,Illinois,17089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morris County,New Jersey,34027,2,6,4,3,5,5,4,4,3,3,3,0,0,0,0,0,0,0,0,0
Clark County,Washington,53011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Lake County,Indiana,18089,0,1,1,1,1,1,1,7,7,5,5,5,5,3,3,2,2,2,2,2
Ada County,Idaho,16001,0,0,0,0,1,4,4,4,4,4,3,3,2,3,2,1,1,0,0,0
Polk County,Iowa,19153,0,1,1,2,37,35,33,31,30,30,27,25,24,12,14,10,8,8,6,6
Richmond County,New York,36085,0,0,0,0,0,0,6,8,8,7,5,5,4,0,0,0,0,0,0,1
Sonoma County,California,6097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washoe County,Nevada,32031,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2
Knox County,Tennessee,47093,0,0,1,2,5,4,4,4,4,4,4,5,5,5,6,6,18,17,12,11
Prince William County,Virginia,51153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulare County,California,6107,0,1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0
Onondaga County,New York,36067,1,2,1,4,13,13,15,12,32,31,27,25,25,6,6,5,5,4,3,3
Seminole County,Florida,12117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hampden County,Massachusetts,25013,0,3,3,2,4,4,4,4,4,4,4,4,4,0,1,1,1,1,1,1
Burlington County,New Jersey,34005,2,3,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,0
Virginia Beach City,Virginia,51810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
York County,Pennsylvania,42133,5,4,4,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
East Baton Rouge Parish,Louisiana,22033,0,1,8,8,10,10,10,10,9,9,9,8,8,5,4,4,4,4,4,4
Naugatuck Valley Planning Region,Connecticut,9140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solano County,California,6095,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2
Santa Barbara County,California,6083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarasota County,Florida,12115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dakota County,Minnesota,27037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monterey County,California,6053,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
Jefferson Parish,Louisiana,22051,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Pinal County,Arizona,4021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Lucas County,Ohio,39095,2,4,4,5,12,11,11,11,11,11,11,11,9,5,5,4,4,4,4,4
Berks County,Pennsylvania,42011,2,3,2,1,1,1,1,1,1,1,1,2,2,2,3,3,2,2,2,2
Hillsborough County,New Hampshire,33011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Cameron County,Texas,48061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clackamas County,Oregon,41005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loudoun County,Virginia,51107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richland County,South Carolina,45079,6,18,17,12,33,39,36,37,32,30,29,29,27,13,15,15,15,15,14,14
Mobile County,Alabama,1097,3,0,5,5,4,3,3,5,5,5,5,5,6,5,5,5,6,6,3,4
Charleston County,South Carolina,45019,4,8,7,8,5,5,4,4,3,4,2,2,3,3,3,6,6,6,3,3
Waukesha County,Wisconsin,55133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Placer County,California,6061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Charles County,Missouri,29183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Genesee County,Michigan,26049,0,4,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3
Manatee County,Florida,12081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange County,New York,36071,4,7,3,2,1,1,1,3,3,3,3,4,3,3,3,4,4,4,4,4
Pulaski County,Arkansas,5119,0,5,3,2,46,50,55,52,49,44,43,41,41,15,15,13,12,16,12,12
Osceola County,Florida,12097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madison County,Alabama,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,5,4
Butler County,Ohio,39017,0,0,0,0,3,3,3,3,3,2,2,1,1,0,0,0,0,0,0,0
Lake County,Florida,12069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,Indiana,18003,0,1,1,1,1,6,6,6,6,5,5,6,8,6,6,4,4,4,4,4
Forsyth County,North Carolina,37067,7,10,10,11,6,6,6,4,4,5,4,4,5,4,4,3,3,5,1,1
Mercer County,New Jersey,34021,0,6,6,13,17,14,14,12,12,12,12,10,10,2,2,3,3,3,2,2
Lane County,Oregon,41039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Orleans Parish,Louisiana,22071,4,12,18,18,49,53,52,59,56,52,51,47,49,28,29,25,25,26,24,24
Collier County,Florida,12021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marion County,Florida,12083,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,0,0
Brazoria County,Texas,48039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stark County,Ohio,39151,0,10,9,7,7,6,6,4,3,3,3,3,2,0,0,0,0,0,0,0
Lehigh County,Pennsylvania,42077,2,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bell County,Texas,48027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washtenaw County,Michigan,26161,0,2,3,3,3,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2
Hamilton County,Tennessee,47065,8,11,9,10,14,13,11,23,25,26,26,25,24,12,12,12,21,19,11,13
Chesterfield County,Virginia,51041,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,1,1,1
Anoka County,Minnesota,27003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Davis County,Utah,49011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Douglas County,Colorado,8035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larimer County,Colorado,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Horry County,South Carolina,45051,1,1,0,0,0,1,1,4,4,4,4,4,3,4,3,3,3,2,2,0
Westmoreland County,Pennsylvania,42129,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Nueces County,Texas,48355,0,0,0,0,20,24,24,23,17,15,14,14,13,7,5,5,4,4,2,2
Galveston County,Texas,48167,0,4,4,4,6,16,15,14,13,13,12,11,12,5,4,5,5,5,5,4
Hamilton County,Indiana,18057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marion County,Oregon,41047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Somerset County,New Jersey,34035,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutherford County,Tennessee,47149,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,4,3,2,2
Rockland County,New York,36087,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,4
Cumberland County,North Carolina,37051,1,7,6,6,12,11,11,18,23,19,18,17,17,5,5,5,4,4,4,5
St. Lucie County,Florida,12111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Henrico County,Virginia,51087,0,0,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Howard County,Maryland,24027,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1
Weld County,Colorado,8123,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spartanburg County,South Carolina,45083,4,12,9,5,16,14,12,13,11,11,10,9,9,3,2,1,1,1,1,0
Boulder County,Colorado,8013,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
Greater Bridgeport Planning Region,Connecticut,9120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luzerne County,Pennsylvania,42079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Durham County,North Carolina,37063,5,10,7,7,15,30,30,31,30,30,27,27,21,4,4,4,4,6,4,4
Lancaster County,Nebraska,31109,0,4,4,2,5,3,3,3,3,3,3,3,4,2,4,3,3,3,2,2
Escambia County,Florida,12033,1,1,1,0,2,2,2,5,6,6,6,6,6,2,2,4,4,4,0,0
Fayette County,Kentucky,21067,0,1,1,1,0,1,3,1,1,1,0,1,1,1,3,3,4,4,4,3
Rockingham County,New Hampshire,33015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany County,New York,36001,0,6,6,6,7,6,6,5,5,5,9,9,9,4,4,4,4,4,4,4
Northampton County,Pennsylvania,42095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lorain County,Ohio,39093,0,9,9,8,6,6,6,6,7,7,7,7,7,5,5,5,4,4,4,4
Lubbock County,Texas,48303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McHenry County,Illinois,17111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland County,Maine,23005,1,4,2,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,2
Gloucester County,New Jersey,34015,0,0,0,0,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0
Greene County,Missouri,29077,0,2,3,3,1,1,1,2,1,1,0,1,1,1,1,2,2,2,1,1
